"Firma";"Website";"Bedarf";"DL Beschreibung";"Geschäftsführung";"Gefundene E-Mails";"GF-Mail (belegt/rekonstruiert)";"Hinweis"
"2txt – natural language generation GmbH";"https://2txt.de/";"Vielleicht";"• KI-Plattform zur automatisierten Aufbereitung von Produktdaten für E-Commerce
• Universeller Datenimport (Excel, CSV, PDF, XML, Bilder) mit automatischem Feld-Mapping
• KI-generierte, SEO-optimierte Produktbeschreibungen für Shops und Marktplätze
• Datenqualitätssicherung (Attributvervollständigung, Mapping-Genauigkeit)";"Johannes Bubenzer";"info@2txt.de";"";"Impressum; nur generische info@-Adresse belegt, kein GF-Muster"
"7Learnings GmbH";"https://7learnings.com/";"Vielleicht";"• KI-gestützte Predictive-Pricing-Software für Einzelhandel und D2C-Marken
• Gewinn- und Umsatzoptimierung durch prädiktive Preisanpassungen
• Abstimmung von Preisen mit Performance-Marketing in Echtzeit
• KI-gestützte Nachbestell-/Bestandsoptimierung";"Eiko van Hettinga; Felix Hoffmann";"info@7learnings.com; security@7learnings.com";"";"Impressum/Footer; nur generische Adressen, kein persoenliches Muster"
"hero scale GmbH (absolute scale)";"https://absolute-scale.ai/";"Ja";"• heroGPT – eigenentwickeltes deutsches Sprachmodell für On-Premise-Betrieb
• heroLogic (Workflow-Orchestrierung) und heroAgent (autonome Agenten)
• heroHardware – On-Premise-KI-Infrastruktur
• Souveräne, DSGVO-konforme KI für Behörden, Kommunen und Unternehmen";"";"";"";"Impressum nicht erreichbar (SPA/Framer, leitet auf heroscale.pro, kein Impressum-Inhalt)"
"Acadeo GmbH";"https://www.acadeo.ai/";"Vielleicht";"• StudyTexter AI zur KI-gestützten Erstellung wissenschaftlicher Texte
• E-Learning-Plattformen und Online-Kurse
• Bildungsberatung für Institutionen und Unternehmen
• KI-basierte Software- und IT-Lösungen im akademischen Bereich";"";"info@acadeo.ai";"";"SPA; nur info@acadeo.ai im Quelltext belegt, GF nicht ermittelbar"
"Accso – Accelerated Solutions GmbH";"https://accso.de/";"Vielleicht";"• Digitalisierungs- und Software-Engineering-Beratung
• KI- & Datenlösungen, KI-Agenten und Agentic Software Engineering
• Cloud-Services, Softwarearchitektur und Prozessautomatisierung
• IoT, Green IT und Cyber Security";"Jürgen Artmann; Tim Bölsche; Thomas Jäger; Ralf Kachel; Dr. Wulf Oberschulte";"info@accso.de";"";"Impressum; nur generische info@-Adresse belegt"
"Adspert GmbH";"https://www.adspert.net/";"Vielleicht";"• KI-Software zur automatisierten PPC-/Werbeoptimierung
• Unterstützung von Amazon, eBay, Walmart, Google und Microsoft Ads
• Automatisiertes Bid-Management und Keyword-Harvesting
• Prädiktive Szenarioanalyse mit eigenen statistischen Algorithmen";"Stephanie Richter; Harald Bartel";"support@adspert.de; security@adspert.de";"";"Impressum; nur generische Adressen (adspert.de), kein persoenliches Muster"
"Adtelligence GmbH (acceleraid)";"https://acceleraid.ai/";"Vielleicht";"• Enterprise-KI- und Datenplattform für Finanzdienstleister
• Customer Data Platform mit Echtzeit-Datenintegration
• Prediction Engine mit ML-Modellen (Churn, Next Best Action, Umsatzprognosen)
• GenAI-Assistenten und regulatorisches Reporting";"";"";"";"Impressum nicht erreichbar (404, SPA)"
"AI Health Systems GmbH";"https://aihealthsystems.de/";"Vielleicht";"• Entwicklung, Implementierung und Wartung von Softwarelösungen im Bereich digitale Gesundheit / KI in der Medizin
• Beratung im Gesundheitssektor
• Präsenz auf Digital-Health-Konferenzen (z. B. DMEA)";"";"";"";"Impressum nicht erreichbar (SPA, kein Inhalt im Quelltext)"
"AI Marketplace GmbH";"https://www.ki-marktplatz.com/";"Vielleicht";"• Digitale Plattform für KI-Lösungen in Engineering und Produktentwicklung
• Use-Case-Identifikation, -Bewertung und -Rollout
• KI-Assistenten für Architektur und Anforderungen
• Auswahl und Integration bestehender Foundation Models";"Ruslan Bernijazov; Rik Rasor";"info@ki-marktplatz.com";"";"Impressum (Vertreten durch); nur generische info@-Adresse"
"AI Shepherds GmbH";"https://www.aishepherds.com/de/home-page-deutsch/";"Vielleicht";"• KI-Beratung für Automobil- und Mobilitätsunternehmen
• Fokusfelder: Vehicle Engineering, Manufacturing, Smart Quality, E-Mobility
• KI-Use-Case-Workshops und Strategieentwicklung nach Reifegraden";"Albert Pujol";"hello@aishepherds.com; sales@aishepherds.com";"";"Impressum (/de/impressum, Vertretungsberechtigt); nur generische Adressen"
