"elementor-widget-container href","attachment-medium src","elementor-heading-title","elementor-heading-title 2","elementor-heading-title href","DL Beschreibung","Data-Labeling-Bedarf","Bedarf – Begründung","Geschäftsführung","Gefundene E-Mails","GF-Mail (belegt/rekonstruiert)","Impressum-Quelle/Hinweis"
"https://2txt.de/","https://ki-verband.de/wp-content/uploads/2025/11/2txt-300x300.png","Retail & Commerce","2txt – natural language generation GmbH","https://2txt.de/","• KI-Plattform zur automatisierten Aufbereitung von Produktdaten für E-Commerce
• Universeller Datenimport (Excel, CSV, PDF, XML, Bilder) mit automatischem Feld-Mapping
• KI-generierte, SEO-optimierte Produktbeschreibungen für Shops und Marktplätze
• Datenqualitätssicherung (Attributvervollständigung, Mapping-Genauigkeit)","Vielleicht","Nutzt ML zur Strukturerkennung und Textgenerierung; eigenes Finetuning möglich, aber überwiegend LLM-basiert.","Johannes Bubenzer","info@2txt.de","","Impressum; nur generische info@-Adresse belegt, kein GF-Muster"
"https://www.5plus.ai/","https://ki-verband.de/wp-content/uploads/2025/11/5plus_gmbh-300x300.png","Product & Process Development","5Plus GmbH","https://www.5plus.ai/","• KI-Beratung spezialisiert auf Versicherungsunternehmen
• Entwicklung von KI-Strategien und Integrationskonzepten
• Umsetzung von Anwendungen (Schadenbearbeitung, Dokumentenanalyse, Kundenanfragen)
• KI-Schulungen und Mitarbeiterbefähigung","Nein","Reine KI-Beratung/Integration ohne eigene Modellentwicklung.","","","",""
"https://7learnings.com/","https://ki-verband.de/wp-content/uploads/2025/11/7learnings_gmbh-300x300.png",", ,","Market Research & Insights","https://7learnings.com/","• KI-gestützte Predictive-Pricing-Software für Einzelhandel und D2C-Marken
• Gewinn- und Umsatzoptimierung durch prädiktive Preisanpassungen
• Abstimmung von Preisen mit Performance-Marketing in Echtzeit
• KI-gestützte Nachbestell-/Bestandsoptimierung","Vielleicht","Trainiert eigene ML-Modelle, jedoch auf transaktionalen/tabellarischen Daten mit geringem manuellem Annotationsbedarf.","Eiko van Hettinga; Felix Hoffmann","info@7learnings.com; security@7learnings.com","","Impressum/Footer; nur generische Adressen, kein persoenliches Muster"
"https://www.85digital.de/","https://ki-verband.de/wp-content/uploads/2026/04/Logos-Website-8-300x300.png","AI Techstack","85digital GmbH & Co. KG","https://www.85digital.de/","• Systemintegration und KI-Architektur für Scale-ups
• Anbindung von ERP-, CRM- und E-Commerce-Systemen an KI
• Fractional AI Architect, KI-Governance und Team-Enablement
• RAG-Implementierung und Vektordatenbanken","Nein","Integriert bestehende KI-Lösungen, trainiert keine eigenen Modelle.","","","",""
"https://99bots.de/","https://ki-verband.de/wp-content/uploads/2025/11/99bots_gmbh-300x300.png","AI Techstack","99BOTS GmbH","https://99bots.de/","• Plattform PULSE DeepConnect für autonome KI-Agenten im Kundenservice
• Fokus auf HR und betriebliche Altersvorsorge (bAV)
• KI-Beratung zu Use Cases, Workflows und API-Integration
• LLM-unabhängige Agenten-Architektur (80 Sprachen, 24/7)","Nein","Baut auf bestehenden LLMs auf, entwickelt keine eigenen Modelle.","","","",""
"https://absolute-scale.ai/","https://ki-verband.de/wp-content/uploads/2025/11/absolute_scale_gmbh-300x300.png","Contentgenerierung (Text & Bild)","absolute scale GmbH","https://absolute-scale.ai/","• heroGPT – eigenentwickeltes deutsches Sprachmodell für On-Premise-Betrieb
• heroLogic (Workflow-Orchestrierung) und heroAgent (autonome Agenten)
• heroHardware – On-Premise-KI-Infrastruktur
• Souveräne, DSGVO-konforme KI für Behörden, Kommunen und Unternehmen","Ja","Entwickelt mit heroGPT ein eigenes Sprachmodell und hat daher hohen Bedarf an Trainings-/Reasoning-Daten.","","","","Impressum nicht erreichbar (SPA/Framer, leitet auf heroscale.pro, kein Impressum-Inhalt)"
"https://www.academy4.ai/","https://ki-verband.de/wp-content/uploads/2025/11/academy4_ai-300x300.png","Research & Education","academy4.ai®","https://www.academy4.ai/","• KI-Weiterbildungs- und Zertifizierungsprogramme (MMAI®, MAAI®)
• Geförderte Karriere-/Business-Programme mit Modulen zu Strategie, Marketing, Automation
• AI Essential Bootcamp und praxisnahe Trainingsprojekte
• Nutzung bestehender Tools (ChatGPT, Make.com, n8n)","Nein","Reines Bildungs-/Weiterbildungsangebot ohne eigene Modellentwicklung.","","","",""
"https://www.acadeo.ai/","https://ki-verband.de/wp-content/uploads/2025/11/acadeo_gmbh-300x300.png","Research & Education","Acadeo GmbH","https://www.acadeo.ai/","• StudyTexter AI zur KI-gestützten Erstellung wissenschaftlicher Texte
• E-Learning-Plattformen und Online-Kurse
• Bildungsberatung für Institutionen und Unternehmen
• KI-basierte Software- und IT-Lösungen im akademischen Bereich","Vielleicht","KI-Textprodukte überwiegend auf bestehenden LLMs; eigenes Finetuning denkbar, aber unsicher.","","info@acadeo.ai","","SPA; nur info@acadeo.ai im Quelltext belegt, GF nicht ermittelbar"
"https://accso.de/","https://ki-verband.de/wp-content/uploads/2026/04/Logos-Website-12-300x300.png","Accso – Accelerated Solutions GmbH","","https://accso.de/","• Digitalisierungs- und Software-Engineering-Beratung
• KI- & Datenlösungen, KI-Agenten und Agentic Software Engineering
• Cloud-Services, Softwarearchitektur und Prozessautomatisierung
• IoT, Green IT und Cyber Security","Vielleicht","Implementiert kundenspezifische KI-/Datenlösungen; teils eigenes Modelltraining möglich, aber schwerpunktmäßig Integration.","Jürgen Artmann; Tim Bölsche; Thomas Jäger; Ralf Kachel; Dr. Wulf Oberschulte","info@accso.de","","Impressum; nur generische info@-Adresse belegt"
"https://www.actfort.com/","https://ki-verband.de/wp-content/uploads/2025/11/actfort_gmbh-300x300.png","Consulting","actfort GmbH","https://www.actfort.com/","• KI-Automatisierung und KI-Agenten für Geschäftsprozesse
• Data Science, Business Intelligence und Data-as-a-Service
• Cloud-Architektur und Migration
• KI-Trainings und Schulungen","Nein","Nutzt bestehende Technologien (z. B. Claude) als Implementierungspartner, kein eigenes Modelltraining.","","","",""
"https://www.adacor.com/","https://ki-verband.de/wp-content/uploads/2025/11/adacor-300x300.png","AI Techstack","Adacor Hosting GmbH","https://www.adacor.com/","• Managed Cloud-Plattformen und souveräne Infrastruktur (Frankfurt/München)
• Managed Security, DDoS-Schutz und Compliance (NIS2, DORA, KRITIS)
• Souveräne KI-Infrastruktur mit GPU und KI-Workplace-Plattform
• KI-Strategie und -Beratung","Nein","Hosting-/Infrastrukturanbieter; KI-Plattform basiert auf bestehenden Modellen, kein eigenes Training.","","","",""
"https://adam-ai.com/","https://ki-verband.de/wp-content/uploads/2025/11/adam_ki-300x300.png","AI Techstack","Adam GmbH","https://adam-ai.com/","• KI-Telefonassistent zur Automatisierung eingehender Anrufe
• First-Level-Support, Anrufweiterleitung und strukturierte Datenerfassung
• Branchenübergreifend und mehrsprachig
• Basiert auf Azure OpenAI (DSGVO-konform)","Nein","Reiner Nutzer bestehender KI-APIs (Azure OpenAI), keine eigenen Modelle.","","","",""
"https://www.adspert.net/","https://ki-verband.de/wp-content/uploads/2025/11/adspert-300x300.png","Sales & Marketing","Adspert GmbH","https://www.adspert.net/","• KI-Software zur automatisierten PPC-/Werbeoptimierung
• Unterstützung von Amazon, eBay, Walmart, Google und Microsoft Ads
• Automatisiertes Bid-Management und Keyword-Harvesting
• Prädiktive Szenarioanalyse mit eigenen statistischen Algorithmen","Vielleicht","Entwickelt eigene ML-Algorithmen, aber auf tabellarischen Werbedaten mit geringem Annotationsbedarf.","Stephanie Richter; Harald Bartel","support@adspert.de; security@adspert.de","","Impressum; nur generische Adressen (adspert.de), kein persoenliches Muster"
"https://acceleraid.ai/","https://ki-verband.de/wp-content/uploads/2025/11/adtelligence-300x300.png","Computer Software","Adtelligence GmbH","https://acceleraid.ai/","• Enterprise-KI- und Datenplattform für Finanzdienstleister
• Customer Data Platform mit Echtzeit-Datenintegration
• Prediction Engine mit ML-Modellen (Churn, Next Best Action, Umsatzprognosen)
• GenAI-Assistenten und regulatorisches Reporting","Vielleicht","Entwickelt eigene ML-Prognosemodelle, nutzt für GenAI jedoch bestehende LLMs; Annotationsbedarf begrenzt.","","","","Impressum nicht erreichbar (404, SPA)"
"https://advisori.de/","https://ki-verband.de/wp-content/uploads/2026/03/Logos-Website-15-300x300.png","IT & Security","ADVISORI FTC GmbH","https://advisori.de/","• Managementberatung für Digitalisierung, Informationssicherheit und Risikomanagement
• Synthara AI Studio – No-Code-Plattform für KI-Agenten mit Governance
• On-Premise-Deployment von Sprachmodellen (DeepSeek, Qwen, Llama)
• Cybersecurity- und ISMS-Beratung","Nein","Beratung und Deployment bestehender Frontier-Modelle, kein eigenes Training.","","","",""
