Firma;Responder_Email;Kategorie;Zitat
Loxo;relations@loxo.ch;DECLINE;we currently have no plans to engage external providers for data labelling and annotation services
MetaSystems;apfuhl@metasystems.de;DECLINE;No consent
Loudly;support@justaddmusic.zendesk.com;AUTO;We've got your message. A member of our support team will review your request and get back to you shortly
Dermanostic;info@dermanostic.com;AUTO;vielen Dank fuer Ihre Nachricht. Bitte beachten Sie, dass wir medizinische Anfragen ausschliesslich ueber unsere...
Cubert;info+noreply@cubert-gmbh.de;AUTO;we received your message. Due to high number of requests answering your mail may take up to 3 working days
Dallmeier;info@dallmeier.com;AUTO;vielen Dank fuer Ihre Mail, wir werden uns zeitnah mit Ihnen in Verbindung setzen
ONDEWO;office+noreply@ondewo.com;AUTO;Thanks for your interest in ONDEWO! We'll be in touch within the next 24 hours!
fino;hello@fino.digital;AUTO;wir bestaetigen den Eingang Ihres Anliegens. Unser Team kuemmert sich schnellstmoeglich um Ihre Anfrage
Delair;contact@delair.aero;AUTO;Nous prendrons connaissance de votre message et nous reviendrons vers vous, dans les meilleurs delais
Dronamics;info+noreply@dronamics.com;AUTO;we've received your message, and will respond as soon as we can
Zeabuz;contact@zeabuz.com;AUTO;Automatic reply: One of our staff will get back to you on your inquiry shortly
TU Berlin (BIFOLD);j.olivier@tu-berlin.de;OOO;I am out of office until August 4, 2026
MILES Mobility;hello@miles-mobility.com;AUTO;vielen Dank fuer Ihr Interesse. Um Ihre Anfrage zu beruecksichtigen, bitten wir Sie, diese ueber [Portal] einzureichen
Audi;imprint@audi.de;AUTO;Automatic reply: danke fuer Ihre E-mail. Fuer Ihre Anfrage nutzen Sie bitte nachfolgende Kontaktinformationen
Porsche;NO-REPLY@porsche.de;AUTO;vielen Dank fuer Ihre Nachricht an Porsche. Um Ihr Anliegen beantworten zu koennen, brauchen wir ein wenig Zeit
MOIA;info@moia.io;AUTO;vielen Dank fuer deine Nachricht. Wir bearbeiten deine Anfrage unter der Vorgangsnummer 922902
Black Forest Labs;support+noreply@blackforestlabs.ai;AUTO;Thank you for reaching out to BFL. We have received your message... higher than usual volume of inquiries
Agile Robots;careers@agile-robots.com;AUTO;Automatic reply: If you would like to apply for a position, please visit our careers page
Delivery Hero;info@deliveryhero.com;AUTO;Thank you for contacting Delivery Hero. Please note that we do not monitor this inbox regularly
