"elementor-widget-container href";"attachment-medium src";"elementor-heading-title";"elementor-heading-title 2";"elementor-heading-title href";"DL Beschreibung";"Data-Labeling-Bedarf";"Bedarf – Begründung"
"https://2txt.de/";"https://ki-verband.de/wp-content/uploads/2025/11/2txt-300x300.png";"Retail & Commerce";"2txt – natural language generation GmbH";"https://2txt.de/";"• KI-Plattform zur automatisierten Aufbereitung von Produktdaten für E-Commerce
• Universeller Datenimport (Excel, CSV, PDF, XML, Bilder) mit automatischem Feld-Mapping
• KI-generierte, SEO-optimierte Produktbeschreibungen für Shops und Marktplätze
• Datenqualitätssicherung (Attributvervollständigung, Mapping-Genauigkeit)";"Vielleicht";"Nutzt ML zur Strukturerkennung und Textgenerierung; eigenes Finetuning möglich, aber überwiegend LLM-basiert."
"https://www.5plus.ai/";"https://ki-verband.de/wp-content/uploads/2025/11/5plus_gmbh-300x300.png";"Product & Process Development";"5Plus GmbH";"https://www.5plus.ai/";"• KI-Beratung spezialisiert auf Versicherungsunternehmen
• Entwicklung von KI-Strategien und Integrationskonzepten
• Umsetzung von Anwendungen (Schadenbearbeitung, Dokumentenanalyse, Kundenanfragen)
• KI-Schulungen und Mitarbeiterbefähigung";"Nein";"Reine KI-Beratung/Integration ohne eigene Modellentwicklung."
"https://7learnings.com/";"https://ki-verband.de/wp-content/uploads/2025/11/7learnings_gmbh-300x300.png";", ,";"Market Research & Insights";"https://7learnings.com/";"• KI-gestützte Predictive-Pricing-Software für Einzelhandel und D2C-Marken
• Gewinn- und Umsatzoptimierung durch prädiktive Preisanpassungen
• Abstimmung von Preisen mit Performance-Marketing in Echtzeit
• KI-gestützte Nachbestell-/Bestandsoptimierung";"Vielleicht";"Trainiert eigene ML-Modelle, jedoch auf transaktionalen/tabellarischen Daten mit geringem manuellem Annotationsbedarf."
"https://www.85digital.de/";"https://ki-verband.de/wp-content/uploads/2026/04/Logos-Website-8-300x300.png";"AI Techstack";"85digital GmbH & Co. KG";"https://www.85digital.de/";"• Systemintegration und KI-Architektur für Scale-ups
• Anbindung von ERP-, CRM- und E-Commerce-Systemen an KI
• Fractional AI Architect, KI-Governance und Team-Enablement
• RAG-Implementierung und Vektordatenbanken";"Nein";"Integriert bestehende KI-Lösungen, trainiert keine eigenen Modelle."
"https://99bots.de/";"https://ki-verband.de/wp-content/uploads/2025/11/99bots_gmbh-300x300.png";"AI Techstack";"99BOTS GmbH";"https://99bots.de/";"• Plattform PULSE DeepConnect für autonome KI-Agenten im Kundenservice
• Fokus auf HR und betriebliche Altersvorsorge (bAV)
• KI-Beratung zu Use Cases, Workflows und API-Integration
• LLM-unabhängige Agenten-Architektur (80 Sprachen, 24/7)";"Nein";"Baut auf bestehenden LLMs auf, entwickelt keine eigenen Modelle."
"https://absolute-scale.ai/";"https://ki-verband.de/wp-content/uploads/2025/11/absolute_scale_gmbh-300x300.png";"Contentgenerierung (Text & Bild)";"absolute scale GmbH";"https://absolute-scale.ai/";"• heroGPT – eigenentwickeltes deutsches Sprachmodell für On-Premise-Betrieb
• heroLogic (Workflow-Orchestrierung) und heroAgent (autonome Agenten)
• heroHardware – On-Premise-KI-Infrastruktur
• Souveräne, DSGVO-konforme KI für Behörden, Kommunen und Unternehmen";"Ja";"Entwickelt mit heroGPT ein eigenes Sprachmodell und hat daher hohen Bedarf an Trainings-/Reasoning-Daten."
"https://www.academy4.ai/";"https://ki-verband.de/wp-content/uploads/2025/11/academy4_ai-300x300.png";"Research & Education";"academy4.ai®";"https://www.academy4.ai/";"• KI-Weiterbildungs- und Zertifizierungsprogramme (MMAI®, MAAI®)
• Geförderte Karriere-/Business-Programme mit Modulen zu Strategie, Marketing, Automation
• AI Essential Bootcamp und praxisnahe Trainingsprojekte
• Nutzung bestehender Tools (ChatGPT, Make.com, n8n)";"Nein";"Reines Bildungs-/Weiterbildungsangebot ohne eigene Modellentwicklung."
"https://www.acadeo.ai/";"https://ki-verband.de/wp-content/uploads/2025/11/acadeo_gmbh-300x300.png";"Research & Education";"Acadeo GmbH";"https://www.acadeo.ai/";"• StudyTexter AI zur KI-gestützten Erstellung wissenschaftlicher Texte
• E-Learning-Plattformen und Online-Kurse
• Bildungsberatung für Institutionen und Unternehmen
• KI-basierte Software- und IT-Lösungen im akademischen Bereich";"Vielleicht";"KI-Textprodukte überwiegend auf bestehenden LLMs; eigenes Finetuning denkbar, aber unsicher."
"https://accso.de/";"https://ki-verband.de/wp-content/uploads/2026/04/Logos-Website-12-300x300.png";"Accso – Accelerated Solutions GmbH";"";"https://accso.de/";"• Digitalisierungs- und Software-Engineering-Beratung
• KI- & Datenlösungen, KI-Agenten und Agentic Software Engineering
• Cloud-Services, Softwarearchitektur und Prozessautomatisierung
• IoT, Green IT und Cyber Security";"Vielleicht";"Implementiert kundenspezifische KI-/Datenlösungen; teils eigenes Modelltraining möglich, aber schwerpunktmäßig Integration."
"https://www.actfort.com/";"https://ki-verband.de/wp-content/uploads/2025/11/actfort_gmbh-300x300.png";"Consulting";"actfort GmbH";"https://www.actfort.com/";"• KI-Automatisierung und KI-Agenten für Geschäftsprozesse
• Data Science, Business Intelligence und Data-as-a-Service
• Cloud-Architektur und Migration
• KI-Trainings und Schulungen";"Nein";"Nutzt bestehende Technologien (z. B. Claude) als Implementierungspartner, kein eigenes Modelltraining."
"https://www.adacor.com/";"https://ki-verband.de/wp-content/uploads/2025/11/adacor-300x300.png";"AI Techstack";"Adacor Hosting GmbH";"https://www.adacor.com/";"• Managed Cloud-Plattformen und souveräne Infrastruktur (Frankfurt/München)
• Managed Security, DDoS-Schutz und Compliance (NIS2, DORA, KRITIS)
• Souveräne KI-Infrastruktur mit GPU und KI-Workplace-Plattform
• KI-Strategie und -Beratung";"Nein";"Hosting-/Infrastrukturanbieter; KI-Plattform basiert auf bestehenden Modellen, kein eigenes Training."
